,accuracy,kappa,f1,roc_auc
0,0.1169,0.01624024709505557,0.040758861289822534,0.508125428695677
1,0.109,0.015316198435336381,0.04094859694368542,0.5074050742286571
2,0.103,0.012295109043941266,0.0316795849051166,0.5061708283616109
3,0.125,0.019626516917885084,0.04414656972757423,0.509844455882745
4,0.112,0.012347875991822965,0.03742077260755048,0.5061188634774133
5,0.12,0.023372472421370305,0.0453441415158933,0.5116780320773548
6,0.119,0.01825204289380511,0.042865563866677815,0.5091845636299311
7,0.128,0.015115492391428287,0.04158254497001998,0.5076935043016277
8,0.124,0.013952127150648086,0.043768785899637674,0.5069374011772444
9,0.116,0.01635039290348006,0.04196432274241013,0.5082978909699488
10,0.113,0.015774242800838167,0.03786772971965969,0.507923672850237
