,accuracy,kappa,f1,roc_auc
0,0.2943,0.21468576031383435,0.25646476795812356,0.6073756435617468
1,0.305,0.2276868164472705,0.2693474671348713,0.6138951420118106
2,0.293,0.2156062187892821,0.2560289533409978,0.6080930470947118
3,0.277,0.19694951889167922,0.23884843348083198,0.5985143815254812
4,0.275,0.19539030783811917,0.23862653043712773,0.5975668283630438
5,0.299,0.21947895488120706,0.2595153216974508,0.6096173260398898
6,0.34,0.26301613994653517,0.30203003660984884,0.6317714783007297
7,0.29,0.20549217521695107,0.25561271347235204,0.6026533732171216
8,0.279,0.1970000545728119,0.24166665228555742,0.5986191364467176
9,0.288,0.20630497062659536,0.248244269976478,0.6031085674783058
10,0.297,0.21993244592789196,0.2547273011457195,0.6099171551396562
